编号,题干,A,B,C,D,答案,分值,启用,解析
ch4-q1,"Let $C$ be the positively oriented unit circle. Then $\displaystyle \int_C \frac{\ln(z+2)}{z}\,dz = 2\pi i \ln 2$.",TRUE,FALSE,,,A,1,是,"$\ln(z+2)$ is analytic inside the circle, apply Cauchy Integral Formula."
ch4-q2,"If $f$ is analytic in $|z|<1$ and $|f(z)|\le 1$ there, then $|f'(0)|\le 1$.",TRUE,FALSE,,,A,1,是,Cauchy's estimate with $R=1$.
ch4-q3,"Let $C$ be the positively oriented circle $|z|=3$. Then $\displaystyle \int_C \frac{z^2+3z+8}{z^4+5z^2-14}\,dz = 0$.",TRUE,FALSE,,,A,1,是,四个奇点 $\pm\sqrt{2}$ 与 $\pm i\sqrt{7}$ 都在 $|z|=3$ 内。该有理函数在无穷远处没有 $1/z$ 项，因此所有有限极点的留数和为 $0$，积分为 $0$。
ch4-q4,"If $f$ is analytic in a domain $D$ and $C\subset D$ is a simple closed curve, then for every $z_0$ inside $C$, $\displaystyle f(z_0)=\frac{1}{2\pi i}\int_C \frac{f(z)}{z-z_0}\,dz$.",TRUE,FALSE,,,A,1,是,Cauchy Integral Formula.
ch4-q5,"Let $C$ be the positively oriented circle $|z|=2$. Then $\displaystyle \int_C \frac{1}{(z-1)(z-3)}\,dz = 0$.",TRUE,FALSE,,,B,1,是,Only $z=1$ lies inside; the integral equals $-\pi i$.
ch4-q6,"If $f$ is analytic at $z_0$, then there exists $r>0$ such that $f(z)=\sum_{n=0}^\infty a_n (z-z_0)^n$ for $|z-z_0|<r$.",TRUE,FALSE,,,A,1,是,Taylor expansion of analytic functions.
ch4-q7,"Let $C$ be the positively oriented unit circle. Then $\displaystyle \int_C \frac{e^{1/z}}{z}\,dz = 2\pi i$.",TRUE,FALSE,,,A,1,是,The residue of $e^{1/z}/z$ at $0$ is $1$.
ch4-q8,"If $f$ is analytic in $|z|<R$ and $|f(z)|\le M$, then $|f^{(n)}(0)|\le \dfrac{n!\,M}{R^n}$.",TRUE,FALSE,,,A,1,是,Cauchy's inequality.
ch4-q9,"Let $C$ be the positively oriented circle $|z|=2$. Then $\displaystyle \int_C \frac{\sin z}{(z-\pi/2)^2}\,dz = 0$.",TRUE,FALSE,,,A,1,是,$\sin'(\pi/2)=0$.
ch4-q10,"If $f$ is analytic and non‑constant in a domain $D$, then $|f(z)|$ cannot attain a minimum in the interior of $D$ unless $f(z)\equiv 0$.",TRUE,FALSE,,,B,1,是,The Minimum Modulus Principle requires that $f$ has no zeros; otherwise the minimum may be zero attained at zeros inside $D$.
